searchUUID,naId,name,variantNames,slug
895d9480-17ab-11eb-8f3b-9d3a470d8ed5,10444187,Lower Brule Sioux Tribe,,lower-brule-sioux-tribe-10444187
895d9481-17ab-11eb-8f3b-9d3a470d8ed5,175776578,Tonto Apache Tribe of Arizona,Tonto Apache Tribe,tonto-apache-tribe-of-arizona-175776578
895d9482-17ab-11eb-8f3b-9d3a470d8ed5,175776567,"Jicarilla Apache Nation, New Mexico",,jicarilla-apache-nation-new-mexico-175776567
895d9483-17ab-11eb-8f3b-9d3a470d8ed5,175776570,"San Carlos Apache Tribe of the San Carlos Reservation, Arizona",,san-carlos-apache-tribe-of-the-san-carlos-reservation-arizona-175776570
895d9484-17ab-11eb-8f3b-9d3a470d8ed5,175776564,Apache Tribe of Oklahoma,,apache-tribe-of-oklahoma-175776564
895d9485-17ab-11eb-8f3b-9d3a470d8ed5,10442550,Quileute Indian Tribe,,quileute-indian-tribe-10442550
895d9486-17ab-11eb-8f3b-9d3a470d8ed5,175776243,Nooksack Indian Tribe of Washington,Nooksack Tribe,nooksack-indian-tribe-of-washington-175776243
895d9487-17ab-11eb-8f3b-9d3a470d8ed5,10446076,Navajo Nation,,navajo-nation-10446076
895d9488-17ab-11eb-8f3b-9d3a470d8ed5,175704066,"Citizen Potawatomi Nation, Oklahoma",Citizen Potawatomi Nation,citizen-potawatomi-nation-oklahoma-175704066
895d9489-17ab-11eb-8f3b-9d3a470d8ed5,175776209,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",,pokagon-band-of-potawatomi-indians-michigan-and-indiana-175776209
895d948a-17ab-11eb-8f3b-9d3a470d8ed5,10445690,Potawatomi Tribe,,potawatomi-tribe-10445690
895d948b-17ab-11eb-8f3b-9d3a470d8ed5,10446757,Oglala Sioux Tribe,,oglala-sioux-tribe-10446757
895d948c-17ab-11eb-8f3b-9d3a470d8ed5,10443825,Rosebud Sioux Tribe,,rosebud-sioux-tribe-10443825
895d948d-17ab-11eb-8f3b-9d3a470d8ed5,10446069,Turtle Mountain Band of Chippewa Indians,,turtle-mountain-band-of-chippewa-indians-10446069
895d948e-17ab-11eb-8f3b-9d3a470d8ed5,10444556,Crow Creek Sioux Tribe,,crow-creek-sioux-tribe-10444556
